Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Labrador Retriever,Canada,"Yellow, Black, Chocolate",21-24,Brown,12-Oct,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
German Shepherd,Germany,"Black, Tan",22-26,Brown,10-Jul,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Bulldog,England,"White, Red",16-Dec,Brown,10-Aug,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Poodle,France,"White, Black, Brown, Apricot",15-Oct,"Brown, Blue",15-Dec,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Beagle,England,"White, Tan, Red, Lemon",13-15,Brown,15-Dec,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Chihuahua,Mexico,"Black, Brown, Tan, White",9-Jun,"Brown, Blue",20-Dec,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues"
Boxer,Germany,"Fawn, Brindle",21-25,Brown,12-Oct,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Golden Retriever,Scotland,Golden,21-24,Brown,12-Oct,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Pug,China,"Fawn, Black",14-Oct,Brown,15-Dec,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Rottweiler,Germany,"Black, Tan",22-27,Brown,10-Aug,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Siberian Husky,Russia,"Black, White",21-24,Blue,15-Dec,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Dachshund,Germany,"Black, Tan",9-May,"Brown, Blue",15-Dec,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Shih Tzu,China,"Black, White, Brown",10-Sep,Brown,16-Oct,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Bichon Frise,France,White,11-Sep,Brown,15-Dec,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Australian Shepherd,Australia,"Black, Red",18-23,"Brown, Blue",15-Dec,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Basset Hound,France,"Black, Tan",15-Nov,Brown,12-Oct,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Cocker Spaniel,England,"Black, Brown",14-15,Brown,15-Dec,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
French Bulldog,France,"White, Black, Brindle",12-Nov,Brown,12-Oct,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Pomeranian,Germany,"Orange, Sable, Black",7-Jun,Brown,16-Dec,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Great Dane,Germany,"Black, Blue, Fawn, Harlequin",28-34,Brown,10-Aug,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Mastiff,England,"Apricot, Fawn",30-34,Brown,10-Aug,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Newfoundland,Canada,"Black, Brown, Grey",26-28,Brown,11-Sep,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Saint Bernard,Switzerland,"Red, White",26-30,Brown,10-Aug,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Old English Sheepdog,England,"Blue, Grey",22-26,Brown,12-Oct,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Irish Wolfhound,Ireland,"Grey, Red, Black",30-35,Brown,8-Jun,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Greyhound,England,"Black, White, Brindle",26-30,Brown,12-Oct,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Scottish Deerhound,Scotland,"Blue, Grey",28-32,Brown,10-Aug,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Great Pyrenees,France,White,25-32,Brown,12-Oct,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Shar Pei,China,"Cream, Fawn",18-20,Brown,12-Aug,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Doberman Pinscher,Germany,"Black, Red",24-28,Brown,12-Oct,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Weimaraner,Germany,"Silver, Grey",25-29,"Blue, Grey",12-Oct,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Belgian Malinois,Belgium,"Fawn, Mahogany",22-26,Brown,14-Dec,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,12-Oct,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
English Setter,England,"Black, White, Liver",23-27,Brown,15-Dec,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Pointer,England,"Black, White, Liver",21-27,Brown,15-Dec,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Gordon Setter,Scotland,"Black, Tan",23-27,Brown,15-Dec,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Irish Setter,Ireland,Red,24-28,Brown,15-Dec,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Papillon,France,"White, Black, Sable, Red",11-Aug,Brown,14-16,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Pekingese,China,"Black, White, Red",9-Jun,Brown,15-Dec,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Toy Poodle,France,"White, Black, Brown, Apricot",11-Oct,"Brown, Blue",15-Dec,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Miniature Poodle,France,"White, Black, Brown, Apricot",15-Oct,"Brown, Blue",15-Dec,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Standard Poodle,France,"White, Black, Brown, Apricot",15-22,"Brown, Blue",15-Dec,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Affenpinscher,Germany,"Black, Brown, Red",11-Sep,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Boston Terrier,United States,"Black, White",15-17,Brown,13-Nov,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Brussels Griffon,Belgium,"Black, Red",10-Jul,Brown,15-Dec,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Cairn Terrier,Scotland,"Black, Wheaten, Red",12-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Chinese Crested,China,"Pink, White, Black",13-Nov,Brown,13-18,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Miniature Schnauzer,Germany,"Black, Salt & Pepper, White",14-Dec,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Standard Schnauzer,Germany,"Black, Salt & Pepper",18-20,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
West Highland White Terrier,Scotland,White,12-Nov,Brown,16-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Terrier,Australia,"Red, Black & Tan",11-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Border Terrier,England,"Red, Wheaten, Black",16-Oct,Brown,16-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Coton de Tulear,Madagascar,White,11-Sep,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
English Toy Spaniel,England,"White, Blenheim",12-Oct,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Stumpy Tail Cattle Dog,Australia,"Red, Black",17-20,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pug,China,"Black, Fawn",14-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
American Eskimo Dog,United States,White,15-19,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Cattle Dog,Australia,"Blue, Red",17-20,Brown,16-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Basset Hound,France,"Black, White, Red",15-Nov,Brown,12-Oct,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Australian Kelpie,Australia,"Red, Black",17-20,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Bloodhound,England,"Red, Black",22-27,Brown,12-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Border Collie,England,"Black, White, Red",18-22,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,Australia,Blue Merle,20-23,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
American Bulldog,United States,"White, Red",20-28,Brown,12-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Australian Shepherd,Australia,"Black, Red",18-23,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Borzoi,Russia,"White, Cream, Red",26-29,Brown,12-Oct,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Bull Terrier,England,"White, Red",20-22,Brown,12-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cane Corso,Italy,"Black, Red",22-28,Brown,12-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,Wales,"Red, Sable, Black",12-Oct,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,United States,"Brown, Tan",21-26,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Saluki,Middle East,"Cream, Red",23-28,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
English Setter,England,"Liver, Blue",25-27,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Springer Spaniel,England,"Black, White, Liver",20-24,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Field Spaniel,England,"Black, Liver",15-18,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Finnish Spitz,Finland,"Red, Golden",15-20,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Flat-Coated Retriever,England,"Black, Liver",22-25,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,Australia,Red,11-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Giant Schnauzer,Germany,"Black, Salt & Pepper",25-28,Brown,12-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Golden Retriever,Scotland,Gold,21-24,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,Scotland,"Black, Tan",24-27,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,Australia,"Blue, Red",17-20,Brown,14-Dec,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Greyhound,England,"White, Black, Red",26-30,Brown,12-Oct,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Harrier,England,"Red, Black & Tan",18-21,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,Ireland,Red,26-28,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Terrier,Ireland,Red,14-16,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,Ireland,Brown,21-24,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Wolfhound,Ireland,"Grey, Red",30-35,Brown,10-Jun,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Italian Greyhound,Italy,"Red, Black",13-15,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Jack Russell Terrier,England,"White, Black & Tan",12-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Japanese Chin,Japan,"Black, Red",11-Jul,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Keeshond,Netherlands,"Black, Cream",17-19,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,Ireland,Blue,17-19,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kuvasz,Hungary,White,25-29,Brown,12-Oct,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Lhasa Apso,Tibet,"Black, White",11-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Maltese,Malta,White,10-Aug,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Pinscher,Germany,"Red, Stag Red",12-Oct,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Samoyed,Russia,White,21-23,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shetland Sheepdog,Scotland,"Sable, Black",13-16,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Staffordshire Bull Terrier,England,"White, Black, Red",14-16,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Vizsla,Hungary,Red,20-24,Brown,14-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Anatolian Shepherd,Turkey,Fawn,27-29,Brown,14-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Welsh Corgi,Wales,"Red, Sable",12-Oct,Brown,15-Dec,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
